unit	startdate	enddate	patientsdays	beds	discharges	workdays
2013-01	2013-01-01	2013-01-31	424	14	31	7
2013-02	2013-02-01	2013-02-28	391	14	35	7
2013-03	2013-03-01	2013-03-31	434	14	33	7
2013-04	2013-04-01	2013-04-30	417	14	34	7
2013-05	2013-05-01	2013-05-31	411	14	36	7
2013-06	2013-06-01	2013-06-30	382	14	32	7
2013-07	2013-07-01	2013-07-31	359	14	29	7
2013-09	2013-09-01	2013-09-30	337	14	21	7
2013-10	2013-10-01	2013-10-31	439	14	36	7
2013-11	2013-11-01	2013-11-30	380	14	35	7
2013-12	2013-12-02	2013-12-31	449	14	39	7
